DevilRef,DevilSystemId,DevilID,CaseRef,Devil_Type,Devil_Text,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"DVA/JO/107","JO",107,"C/JO/2846","Male","fearful shape","jhm","07/24/01 10:25:30","LEM","11/01/02 14:29:50"
"DVA/JO/108","JO",108,"C/EGD/1817","Male","in green clothing","jhm","07/31/01 13:33:23","jhm","10/22/02 12:54:21"
"DVA/JO/109","JO",109,"C/EGD/1862","Male","large, black man","jhm","07/31/01 14:43:45","LEM","10/10/02 11:30:37"
"DVA/JO/110","JO",110,"C/EGD/2005","Male","in green with black hat","jhm","07/31/01 14:59:28","jhm","10/23/02 13:40:54"
"DVA/JO/111","JO",111,"C/EGD/2005","Male","young man in green","jhm","07/31/01 14:59:53","jhm","10/23/02 13:40:53"
"DVA/JO/112","JO",112,"C/EGD/1859","Male","little man, in blue, blue hat, black staff","jhm","07/31/01 15:24:44","jhm","10/22/02 14:38:02"
"DVA/JO/113","JO",113,"C/EGD/1758","Male","grim black man","jhm","08/17/01 12:21:52","jhm","10/22/02 09:50:47"
"DVA/JO/114","JO",114,"C/JO/2882","Male","black clothing","jhm","09/07/01 12:14:18","LEM","11/01/02 10:48:16"
"DVA/JO/116","JO",116,"C/JO/2883","Female Fairy","green clothes/kirtall","jhm","09/07/01 12:55:32","jhm","09/07/01 12:55:57"
"DVA/JO/117","JO",117,"C/JO/2883","Male","black man in black clothes","jhm","09/07/01 12:55:59","LEM","11/01/02 10:44:13"
"DVA/JO/118","JO",118,"C/JO/2883","Male Fairy","green clothes/grey hat","jhm","09/07/01 12:56:39","jhm","09/07/01 12:57:40"
"DVA/JO/119","JO",119,"C/JO/2882","Female Fairy",,"jhm","09/07/01 13:14:52","jhm","09/07/01 13:14:53"
"DVA/JO/120","JO",120,"C/JO/2882","Male Fairy",,"jhm","09/07/01 13:14:56","jhm","09/07/01 13:15:07"
"DVA/JO/155","JO",155,"C/EGD/1367","Male","in brown clothes","jhm","10/19/01 10:32:30","jhm","10/03/02 16:16:38"
"DVA/JO/156","JO",156,"C/EGD/1368","Male","black clothes","jhm","10/19/01 10:54:40","jhm","10/03/02 16:18:37"
"DVA/JO/157","JO",157,"C/EGD/1375","Animal Devil","dog","jhm","10/19/01 12:04:43","jhm","10/19/01 12:04:54"
"DVA/JO/158","JO",158,"C/EGD/1375","Male",,"jhm","10/19/01 12:04:55","jhm","09/30/02 16:54:16"
"DVA/JO/159","JO",159,"C/EGD/1372","Male","in black clothes","jhm","10/19/01 12:20:09","jhm","10/03/02 16:30:44"
"DVA/JO/160","JO",160,"C/EGD/1373","Male","black man in green","jhm","10/19/01 12:38:23","jhm","10/01/02 09:53:36"
"DVA/JO/161","JO",161,"C/JO/2905","Male","gentleman","jhm","10/19/01 12:59:24","jhm","10/01/02 09:53:29"
"DVA/JO/162","JO",162,"C/EGD/1374","Male","in black clothes","jhm","10/19/01 13:08:00","jhm","10/01/02 09:53:08"
"DVA/JO/163","JO",163,"C/EGD/1374","Animal Devil","dog","jhm","10/19/01 13:08:13","jhm","10/19/01 13:08:32"
"DVA/JO/21","JO",21,"C/EGD/2121","Male","a little cuttie fellow with a staff","jhm","06/05/01 14:47:14","jhm","10/24/02 09:40:21"
"DVA/JO/22","JO",22,"C/EGD/2121","Animal Devil","magpie","jhm","06/05/01 14:50:03","jhm","06/05/01 14:50:46"
"DVA/JO/229","JO",229,"C/EGD/2453","Spirit","non-visible spirits","jhm","10/23/01 10:49:37","jhm","10/23/01 10:50:03"
"DVA/JO/23","JO",23,"C/EGD/2121","Animal Devil","jackdaw","jhm","06/05/01 14:50:47","jhm","06/05/01 14:51:21"
"DVA/JO/236","JO",236,"C/EGD/1818","Male",,"jhm","11/27/01 13:40:42","jhm","10/22/02 13:02:41"
"DVA/JO/237","JO",237,"C/EGD/1818","Animal Devil","young dog","jhm","11/27/01 13:40:46","jhm","11/27/01 13:45:34"
"DVA/JO/238","JO",238,"C/EGD/1818","Animal Devil","young brown dog","jhm","11/27/01 13:45:36","jhm","11/27/01 13:45:49"
"DVA/JO/24","JO",24,"C/EGD/1324","Animal Devil","black dog","jhm","06/13/01 12:37:32","jhm","06/13/01 12:37:50"
"DVA/JO/249","JO",249,"C/EGD/2387","Male",,"jhm","02/07/02 10:24:57","jhm","10/29/02 10:06:26"
"DVA/JO/25","JO",25,"C/EGD/1323","Male","man wearing green clothes","jhm","06/13/01 13:15:21","jhm","10/03/02 14:38:15"
"DVA/JO/250","JO",250,"C/EGD/1856","Animal Devil","round headed cat","jhm","02/07/02 11:19:18","jhm","02/07/02 11:26:37"
"DVA/JO/251","JO",251,"C/EGD/1856","Animal Devil","black dog","jhm","02/07/02 11:19:22","jhm","02/07/02 11:19:31"
"DVA/JO/252","JO",252,"C/EGD/1856","Male","cold man","jhm","02/07/02 11:21:18","jhm","10/22/02 14:32:27"
"DVA/JO/253","JO",253,"C/JO/2959","Male",,"jhm","02/07/02 15:16:53","LEM","10/31/02 16:16:02"
"DVA/JO/254","JO",254,"C/EGD/1848","Male",,"jhm","02/07/02 16:01:56","jhm","10/22/02 14:16:23"
"DVA/JO/255","JO",255,"C/EGD/1855","Animal Devil","cat","jhm","02/14/02 10:45:04","jhm","02/14/02 10:45:10"
"DVA/JO/256","JO",256,"C/EGD/1855","Animal Devil","dog","jhm","02/14/02 10:45:11","jhm","02/14/02 10:45:15"
"DVA/JO/31","JO",31,"C/EGD/604","Male","leper","jhm","06/27/01 12:11:38","LEM","11/07/02 12:56:24"
"DVA/JO/312","JO",312,"C/EGD/2153","Animal Devil","Beast","jhm","03/07/02 16:22:30","jhm","03/07/02 16:22:44"
"DVA/JO/313","JO",313,"C/EGD/2172","Female Fairy","Quene of Elphen","jhm","05/08/02 16:44:26","jhm","05/08/02 16:44:48"
"DVA/JO/314","JO",314,"C/EGD/2172","Spirit","Christonday/Angel","jhm","05/08/02 16:44:54","jhm","05/09/02 12:23:10"
"DVA/JO/315","JO",315,"C/EGD/2172","Ghost","Thomas Rhymer/James IV","jhm","05/08/02 16:47:07","jhm","05/08/02 16:47:26"
"DVA/JO/316","JO",316,"C/EGD/2172","Animal Devil","Stag deer","jhm","05/08/02 16:50:35","jhm","05/08/02 16:50:51"
"DVA/JO/317","JO",317,"C/EGD/2172","Other Demon","Black beast","jhm","05/09/02 12:23:16","jhm","05/09/02 12:25:34"
"DVA/JO/319","JO",319,"C/EGD/2159","Male","Old beared man in white","jhm","05/09/02 13:03:46","jhm","10/24/02 11:26:01"
"DVA/JO/320","JO",320,"C/EGD/2159","Male","no details","jhm","05/09/02 13:04:35","jhm","10/24/02 11:26:01"
"DVA/JO/321","JO",321,"C/EGD/2160","Animal Devil","as a lamb","jhm","05/09/02 16:54:18","jhm","05/09/02 16:54:33"
"DVA/JO/322","JO",322,"C/EGD/2160","Animal Devil","as a calf","jhm","05/09/02 16:55:02","jhm","05/09/02 16:55:30"
"DVA/JO/323","JO",323,"C/EGD/2162","Animal Devil","as beast","jhm","06/03/02 15:27:27","jhm","06/03/02 15:27:47"
"DVA/JO/324","JO",324,"C/JO/3033","Animal Devil","grey stag","jhm","06/10/02 17:31:52","jhm","06/10/02 17:32:56"
"DVA/JO/325","JO",325,"C/JO/3033","Animal Devil","bird","jhm","06/10/02 17:32:07","jhm","06/10/02 17:32:23"
"DVA/JO/326","JO",326,"C/JO/3033","Animal Devil","horse","jhm","06/10/02 17:36:59","jhm","06/10/02 17:37:13"
"DVA/JO/327","JO",327,"C/EGD/2130","Male","little cripple man","jhm","06/10/02 18:11:05","jhm","10/24/02 10:15:44"
"DVA/JO/328","JO",328,"C/EGD/2141","Male",,"jhm","06/10/02 21:45:23","jhm","10/24/02 10:30:16"
"DVA/JO/329","JO",329,"C/EGD/2141","Animal Devil","unspecified beast","jhm","06/10/02 21:45:33","jhm","06/10/02 21:45:47"
"DVA/JO/330","JO",330,"C/EGD/2141","Animal Devil","black stag","jhm","06/10/02 21:46:01","jhm","06/10/02 21:46:04"
"DVA/JO/331","JO",331,"C/EGD/2141","Male","in silk clothing/white candle in hand","jhm","06/10/02 21:46:11","jhm","10/24/02 10:30:14"
"DVA/JO/332","JO",332,"C/EGD/2141","Male","black man","jhm","06/10/02 21:46:37","jhm","10/24/02 10:30:13"
"DVA/JO/333","JO",333,"C/EGD/2141","Female","dressed in white wylicoat","jhm","06/10/02 21:48:49","jhm","10/24/02 10:30:12"
"DVA/JO/334","JO",334,"C/JO/3046","Male","man","jhm","06/17/02 16:04:03","LEM","10/31/02 12:58:16"
"DVA/JO/335","JO",335,"C/JO/3046",,,"jhm","06/19/02 15:41:48","jhm","06/19/02 15:41:51"
"DVA/JO/336","JO",336,"C/EGD/2327","Animal Devil","crows","jhm","06/19/02 16:02:33","jhm","06/19/02 16:02:48"
"DVA/JO/342","JO",342,"C/JO/3059","Spirit","as angel","jhm","06/27/02 14:32:02","jhm","06/27/02 14:32:18"
"DVA/JO/343","JO",343,"C/JO/3059","Male","as Thomas Murray","jhm","06/27/02 14:34:48","LEM","10/31/02 12:45:27"
"DVA/JO/344","JO",344,"C/JO/3068","Male","man in green clothes","jhm","07/02/02 09:21:16","LEM","11/11/02 11:25:34"
"DVA/JO/345","JO",345,"C/EGD/297","Male","in brown clothes and black hat","jhm","07/03/02 16:22:54","jhm","11/04/02 09:36:31"
"DVA/JO/346","JO",346,"C/EGD/294","Male",,"jhm","07/04/02 11:27:32","jhm","10/31/02 12:38:57"
"DVA/JO/347","JO",347,"C/EGD/294","Female","wearing green waistcoat with grey tails","jhm","07/04/02 11:53:18","jhm","10/31/02 12:38:53"
"DVA/JO/348","JO",348,"C/EGD/291","Male","in grey clothes and blue hat","jhm","07/04/02 14:00:03","jhm","10/31/02 12:14:02"
"DVA/JO/349","JO",349,"C/EGD/291","Fairy","in green waistcoat and grey gown","jhm","07/04/02 14:00:13","jhm","10/31/02 12:14:01"
"DVA/JO/350","JO",350,"C/EGD/291","Female","in white gown","jhm","07/04/02 14:00:39","jhm","10/31/02 12:13:59"
"DVA/JO/351","JO",351,"C/EGD/294","Animal Devil","feltered beast","jhm","07/04/02 14:21:26","jhm","07/04/02 14:22:32"
"DVA/JO/352","JO",352,"C/EGD/293","Female","woman with black pot","jhm","07/04/02 15:17:00","jhm","10/31/02 12:31:12"
"DVA/JO/354","JO",354,"C/EGD/2373","Male",,"jhm","07/11/02 10:55:29","jhm","10/29/02 09:29:33"
"DVA/JO/355","JO",355,"C/EGD/1813","Male","grim man in black clothes","jhm","07/11/02 12:45:09","jhm","10/22/02 12:05:25"
"DVA/JO/356","JO",356,"C/EGD/1628","Male","in grey clothes","jhm","07/11/02 13:42:37","jhm","10/21/02 13:40:58"
"DVA/JO/357","JO",357,"C/EGD/1627","Male","in brown clothes","jhm","07/11/02 13:49:48","jhm","10/21/02 13:38:23"
"DVA/JO/358","JO",358,"C/JO/3093","Unspecified Devil",,"jhm","07/18/02 10:28:22","jhm","07/18/02 10:29:33"
"DVA/JO/359","JO",359,"C/EGD/2161","Animal Devil","four legged beast","jhm","07/18/02 10:41:52","jhm","07/18/02 10:42:39"
"DVA/JO/369","JO",369,"C/EGD/831","Animal Devil","black dog","jhm","08/02/02 15:29:11","jhm","08/02/02 15:29:23"
"DVA/JO/395","JO",395,"C/EGD/1533","Male","man","jhm","08/27/02 09:30:46","jhm","10/08/02 14:23:40"
"DVA/JO/396","JO",396,"C/EGD/1527","Male","young man","jhm","08/27/02 10:26:12","jhm","10/08/02 12:31:43"
"DVA/JO/397","JO",397,"C/EGD/604","Male","gross copperfaced man","jhm","08/27/02 11:19:42","LEM","11/07/02 12:56:06"
"DVA/JO/398","JO",398,"C/JO/3246","Animal Devil","little brown dog","jhm","08/27/02 11:53:44","jhm","08/27/02 11:54:04"
"DVA/JO/399","JO",399,"C/JO/3246","Male","well favoured young man","jhm","08/27/02 11:54:05","LEM","10/30/02 14:02:19"
"DVA/JO/400","JO",400,"C/JO/3246","Animal Devil","cat","jhm","08/27/02 11:54:56","jhm","08/27/02 11:55:13"
"DVA/JO/401","JO",401,"C/JO/3248","Male","black rough fierce man","jhm","08/27/02 14:09:38","LEM","10/30/02 13:43:10"
"DVA/JO/402","JO",402,"C/JO/3248","Male","with a white 'midell'","jhm","08/28/02 09:52:18","LEM","10/30/02 13:42:47"
"DVA/JO/403","JO",403,"C/JO/3248","Male","naked with black head","jhm","08/28/02 09:55:29","LEM","10/30/02 13:42:46"
"DVA/JO/404","JO",404,"C/JO/3248","Ghost","spirit of Adam Ker","jhm","08/28/02 09:58:07","jhm","08/28/02 09:58:21"
"DVA/JO/405","JO",405,"C/JO/3248","Male","called Klareanough","jhm","08/28/02 10:02:01","LEM","10/30/02 13:42:44"
"DVA/JO/406","JO",406,"C/EGD/2148","Spirit","Christonday","jhm","10/24/02 10:56:45","jhm","10/24/02 10:56:55"
"DVA/JO/407","JO",407,"C/EGD/2255","Fairy",,"jhm","10/24/02 15:53:26","jhm","10/28/02 16:36:56"
"DVA/JO/79","JO",79,"C/JO/2830","Male","little, black man","jhm","07/10/01 10:04:24","LEM","11/01/02 14:43:48"
"DVA/JO/80","JO",80,"C/JO/2830","Male","in green cothes","jhm","07/10/01 10:04:37","LEM","11/01/02 14:43:45"
"DVA/JO/81","JO",81,"C/LA/2786","Male","man in black","jhm","07/10/01 10:33:01","LEM","11/11/02 11:26:11"
"DVA/JO/83","JO",83,"C/LA/2785","Male","in black clothes","jhm","07/10/01 12:04:37","LEM","11/11/02 11:26:28"
"DVA/JO/84","JO",84,"C/EGD/395","Male","heavy as millstone","jhm","07/10/01 12:42:26","jhm","11/06/02 12:35:02"
"DVA/JO/85","JO",85,"C/EGD/397","Male","black man","jhm","07/10/01 12:59:45","jhm","11/06/02 12:38:50"
"DVA/JO/86","JO",86,"C/EGD/1954","Male","very well clothed","jhm","07/10/01 15:41:42","jhm","10/23/02 11:09:25"
"DVA/JO/87","JO",87,"C/EGD/401","Male",,"jhm","07/10/01 16:05:29","jhm","11/06/02 12:59:31"
"DVA/JO/88","JO",88,"C/JO/2832","Male",,"jhm","07/11/01 10:58:36","LEM","11/01/02 14:41:48"
"DVA/JO/89","JO",89,"C/EGD/1954","Male","cloven feet","jhm","07/11/01 11:04:38","jhm","10/23/02 11:09:24"
"DVA/LA/1","LA",1,"C/EGD/160","Unspecified Devil",,"LEM","05/17/01 10:48:30","LEM","05/17/01 10:48:35"
"DVA/LA/10","LA",10,"C/EGD/166","Male","man in grey clothes","LEM","05/21/01 11:14:12","jhm","10/21/02 14:59:24"
"DVA/LA/100","LA",100,"C/EGD/365","Insect Devil","Bee","LEM","07/16/01 12:59:39","LEM","07/16/01 12:59:46"
"DVA/LA/101","LA",101,"C/EGD/365","Male","pretty boy in Green Clothes","LEM","07/16/01 12:59:49","jhm","11/05/02 14:01:32"
"DVA/LA/102","LA",102,"C/EGD/364","Male","young man","LEM","07/16/01 13:18:27","jhm","11/05/02 10:00:37"
"DVA/LA/103","LA",103,"C/EGD/384","Male","meikle headed body","LEM","07/16/01 13:23:42","jhm","11/05/02 15:31:09"
"DVA/LA/104","LA",104,"C/EGD/406","Male",,"LEM","07/16/01 14:53:17","jhm","11/06/02 14:14:52"
"DVA/LA/105","LA",105,"C/EGD/1398","Male",,"LEM","07/16/01 15:00:38","jhm","10/07/02 14:28:33"
"DVA/LA/106","LA",106,"C/EGD/377","Male","with green clothes","LEM","07/17/01 10:16:14","LEM","10/10/02 15:42:25"
"DVA/LA/114","LA",114,"C/EGD/576","Spirit","as a woman","LEM","09/05/01 10:28:38","LEM","09/05/01 10:28:44"
"DVA/LA/115","LA",115,"C/EGD/576","Female Fairy","queen of fairy","LEM","09/05/01 10:31:48","LEM","11/06/01 14:52:28"
"DVA/LA/116","LA",116,"C/EGD/606","Male",,"LEM","09/07/01 10:41:23","LEM","11/11/02 11:26:41"
"DVA/LA/117","LA",117,"C/EGD/607","Male",,"LEM","09/07/01 10:44:23","LEM","11/07/02 12:47:08"
"DVA/LA/118","LA",118,"C/EGD/609","Male","gentleman","LEM","09/07/01 10:50:05","LEM","11/07/02 12:45:08"
"DVA/LA/119","LA",119,"C/EGD/608","Male","Sade coloured habit","LEM","09/07/01 12:04:01","LEM","11/07/02 12:46:23"
"DVA/LA/12","LA",12,"C/EGD/162","Male","black man in black clothes","LEM","05/21/01 13:23:31","jhm","10/18/02 16:12:50"
"DVA/LA/120","LA",120,"C/EGD/607","Spirit","her's named Laurie Moir","LEM","09/07/01 12:34:38","LEM","09/07/01 12:35:07"
"DVA/LA/121","LA",121,"C/EGD/608","Spirit","her's named Peter Drysdale","LEM","09/07/01 12:35:27","LEM","09/07/01 12:35:46"
"DVA/LA/122","LA",122,"C/EGD/606","Spirit","Peiter Solloway","LEM","09/07/01 12:43:52","LEM","09/07/01 12:44:01"
"DVA/LA/123","LA",123,"C/EGD/691","Male",,"LEM","09/11/01 11:52:03","LEM","11/06/02 15:45:23"
"DVA/LA/124","LA",124,"C/EGD/616","Male",,"LEM","09/11/01 11:56:39","LEM","11/07/02 12:36:51"
"DVA/LA/127","LA",127,"C/EGD/694","Male",,"LEM","09/11/01 12:08:07","LEM","11/06/02 15:28:06"
"DVA/LA/128","LA",128,"C/EGD/693","Male",,"LEM","09/11/01 12:59:13","LEM","11/06/02 15:34:28"
"DVA/LA/129","LA",129,"C/EGD/692","Male","Black Man in black clothes","LEM","09/11/01 13:06:14","LEM","11/06/02 15:38:02"
"DVA/LA/130","LA",130,"C/EGD/622","Male","an English healer named Webb","LEM","09/11/01 13:15:40","LEM","11/07/02 12:05:26"
"DVA/LA/131","LA",131,"C/EGD/613","Male",,"LEM","09/11/01 13:23:15","LEM","11/07/02 12:39:59"
"DVA/LA/132","LA",132,"C/EGD/614","Male",,"LEM","09/11/01 13:31:05","LEM","11/07/02 12:38:56"
"DVA/LA/134","LA",134,"C/EGD/696","Male","gentleman","LEM","09/21/01 13:05:10","LEM","11/06/02 15:22:37"
