MeetingPlaceRef,MeetingPlaceSystemId,MeetingPlaceID,CaseRef,MeetingPlace_Place,Inversion,Location,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"MP/JO/137","JO",137,"C/EGD/1954","Yard",0,"own house","jhm","07/10/01 09:12:34","jhm","07/10/01 09:14:58"
"MP/JO/138","JO",138,"C/EGD/402",,0,"going to Edinburgh","jhm","07/10/01 09:21:16","jhm","07/10/01 09:22:35"
"MP/JO/139","JO",139,"C/JO/2830",,0,"'moremaddenhole' Leith","jhm","07/10/01 10:05:45","jhm","07/10/01 10:06:36"
"MP/JO/140","JO",140,"C/JO/2830",,0,"the 'Latch' Edinburgh","jhm","07/10/01 10:06:00","jhm","07/10/01 10:06:13"
"MP/JO/141","JO",141,"C/JO/2830","Burn",0,,"jhm","07/10/01 10:06:57","jhm","07/10/01 10:08:10"
"MP/JO/142","JO",142,"C/LA/2786",,0,"Windygoul","jhm","07/10/01 10:33:20","jhm","07/10/01 10:33:34"
"MP/JO/143","JO",143,"C/LA/2786","Hilltop",0,"Parson's Knoll","jhm","07/10/01 10:33:36","jhm","07/10/01 10:33:54"
"MP/JO/146","JO",146,"C/EGD/402","House",0,"her own house","jhm","07/10/01 11:06:07","jhm","07/10/01 11:06:32"
"MP/JO/147","JO",147,"C/EGD/402",,0,"Jock's Lodge","jhm","07/10/01 11:07:20","jhm","07/10/01 11:07:33"
"MP/JO/148","JO",148,"C/LA/2785","House yard",0,"own house","jhm","07/10/01 12:06:03","jhm","07/10/01 12:06:14"
"MP/JO/149","JO",149,"C/LA/2785","House",0,"in bedroom","jhm","07/10/01 12:06:24","jhm","07/10/01 12:06:37"
"MP/JO/150","JO",150,"C/EGD/395","House",0,"own house","jhm","07/10/01 12:44:28","jhm","07/10/01 12:44:38"
"MP/JO/151","JO",151,"C/EGD/397","Loch",0,"lochside, beside meadow","jhm","07/10/01 13:00:51","jhm","07/10/01 13:01:16"
"MP/JO/152","JO",152,"C/EGD/401","Hilltop",0,"Gallolaw","jhm","07/10/01 15:23:38","jhm","07/10/01 15:23:45"
"MP/JO/153","JO",153,"C/EGD/401",,0,"Jock's Lodge","jhm","07/10/01 15:23:46","jhm","07/10/01 15:24:03"
"MP/JO/154","JO",154,"C/EGD/1954","Road",0,"Restalrig Loan","jhm","07/10/01 15:36:41","jhm","07/10/01 15:37:07"
"MP/JO/157","JO",157,"C/EGD/398","House",0,"own house window","jhm","07/10/01 15:52:40","jhm","07/10/01 15:53:02"
"MP/JO/158","JO",158,"C/EGD/401","Burn",0,"North Meadow burn","jhm","07/10/01 16:05:11","jhm","07/10/01 16:05:28"
"MP/JO/159","JO",159,"C/EGD/396","Yard",0,"Andrew Simmon's whinns","jhm","07/11/01 09:52:39","jhm","07/11/01 09:53:48"
"MP/JO/160","JO",160,"C/EGD/400","Mill",0,"'Breastmilne'","jhm","07/11/01 13:06:02","jhm","07/11/01 13:07:37"
"MP/JO/165","JO",165,"C/EGD/400",,0,"Brownesmith?","jhm","07/16/01 10:42:38","jhm","07/16/01 10:45:40"
"MP/JO/170","JO",170,"C/JO/2846","Coalpit",0,"Southhundall?","jhm","07/24/01 10:43:03","jhm","07/24/01 10:44:55"
"MP/JO/173","JO",173,"C/EGD/1298","Burn",0,"Swynisburne","jhm","07/26/01 16:09:19","jhm","07/26/01 16:09:27"
"MP/JO/174","JO",174,"C/EGD/1817","House",0,"mother's house","jhm","07/31/01 13:32:36","jhm","10/22/02 12:54:45"
"MP/JO/175","JO",175,"C/EGD/2005","Hilltop",0,"Gallowberry Hill","jhm","07/31/01 14:58:50","jhm","07/31/01 15:28:36"
"MP/JO/176","JO",176,"C/EGD/1859","Hilltop",0,"Gallowberry Hill","jhm","07/31/01 15:27:41","jhm","07/31/01 15:28:11"
"MP/JO/177","JO",177,"C/EGD/1860",,0,"Kirkurd","jhm","07/31/01 15:46:59","jhm","07/31/01 15:47:08"
"MP/JO/178","JO",178,"C/JO/2882","House",0,"own house","jhm","09/07/01 12:20:30","jhm","09/07/01 12:20:46"
"MP/JO/179","JO",179,"C/JO/2882","Bridge",0,"Lintoun Bridge","jhm","09/07/01 13:26:14","jhm","09/07/01 13:26:59"
"MP/JO/294","JO",294,"C/EGD/1367","Haugh",0,"Samuelston","jhm","10/19/01 10:34:59","jhm","10/19/01 10:37:08"
"MP/JO/295","JO",295,"C/EGD/1367","House",0,"Own house","jhm","10/19/01 10:36:50","jhm","10/19/01 10:36:56"
"MP/JO/296","JO",296,"C/EGD/1368","Burn",0,"black burn beside Calfward","jhm","10/19/01 10:56:11","jhm","10/19/01 10:56:39"
"MP/JO/297","JO",297,"C/EGD/1368","Moor",0,"Begbiemure","jhm","10/19/01 10:56:45","jhm","10/19/01 10:57:31"
"MP/JO/298","JO",298,"C/EGD/1368","Moor",0,"Overboltonmure","jhm","10/19/01 10:57:01","jhm","10/19/01 10:58:09"
"MP/JO/299","JO",299,"C/EGD/1368","Burn",0,"Kirkland burn","jhm","10/19/01 10:58:11","jhm","10/19/01 11:04:46"
"MP/JO/300","JO",300,"C/EGD/1375","House",0,"own house","jhm","10/19/01 12:07:01","jhm","10/19/01 12:07:09"
"MP/JO/301","JO",301,"C/EGD/1375","Moor",0,"Boltonmure","jhm","10/19/01 12:07:13","jhm","10/19/01 12:07:20"
"MP/JO/302","JO",302,"C/EGD/1375","Haugh",0,"Samuelston","jhm","10/19/01 12:07:32","jhm","10/19/01 12:07:42"
"MP/JO/303","JO",303,"C/EGD/1375","Moor",0,"Pilmure","jhm","10/19/01 12:07:43","jhm","10/19/01 12:07:49"
"MP/JO/304","JO",304,"C/EGD/1375","Burn",0,"Black burn of Bolton","jhm","10/19/01 12:07:53","jhm","10/19/01 12:08:06"
"MP/JO/305","JO",305,"C/EGD/1375","Moor",0,"Begbiemure","jhm","10/19/01 12:08:07","jhm","10/19/01 12:09:14"
"MP/JO/306","JO",306,"C/EGD/1372","House",0,"outside own house","jhm","10/19/01 12:20:59","jhm","10/19/01 12:21:09"
"MP/JO/307","JO",307,"C/EGD/1372","Moor",0,"Baigbiemure","jhm","10/19/01 12:21:11","jhm","10/19/01 12:21:30"
"MP/JO/308","JO",308,"C/EGD/1372","Burn",0,"Black burn of Bolton","jhm","10/19/01 12:21:33","jhm","10/22/01 12:10:18"
"MP/JO/309","JO",309,"C/EGD/1373","Moor",0,"Baigbiemure","jhm","10/19/01 12:40:07","jhm","10/19/01 12:40:18"
"MP/JO/310","JO",310,"C/EGD/1373","Burn",0,"Black burn","jhm","10/19/01 12:40:31","jhm","10/19/01 12:40:54"
"MP/JO/311","JO",311,"C/JO/2905","House",0,"Elizabeth Lawson's house","jhm","10/19/01 13:00:13","jhm","10/19/01 13:00:29"
"MP/JO/312","JO",312,"C/JO/2905","Yard",0,"great yard of Blause","jhm","10/19/01 13:00:30","jhm","10/19/01 13:00:41"
"MP/JO/313","JO",313,"C/JO/2905","Burn",0,"Black burn","jhm","10/19/01 13:00:43","jhm","10/19/01 13:00:50"
"MP/JO/314","JO",314,"C/JO/2905","Well",0,"Cadger well","jhm","10/19/01 13:00:54","jhm","10/19/01 13:01:02"
"MP/JO/315","JO",315,"C/EGD/1374","Burn",0,"Black burn of Bolton","jhm","10/19/01 13:09:14","jhm","10/22/01 12:11:14"
"MP/JO/336","JO",336,"C/EGD/1367","Burn",0,"Blackburn of Bolton","jhm","10/19/01 16:28:22","jhm","10/19/01 16:28:31"
"MP/JO/337","JO",337,"C/EGD/1367","Moor",0,"baigbiemure","jhm","10/19/01 16:28:31","jhm","10/19/01 16:28:49"
"MP/JO/338","JO",338,"C/EGD/1374","Moor",0,"Baigbiemure","jhm","10/19/01 16:29:22","jhm","10/19/01 16:30:44"
"MP/JO/36","JO",36,"C/EGD/2121","Mercat Cross",0,"Aberdeen","jhm","06/05/01 14:53:46","jhm","06/05/01 14:54:43"
"MP/JO/37","JO",37,"C/EGD/1324","House yard",0,"Painston","jhm","06/13/01 12:39:14","jhm","06/13/01 12:40:19"
"MP/JO/38","JO",38,"C/EGD/1324","Loch",0,"Painston","jhm","06/13/01 12:54:04","jhm","06/13/01 12:54:24"
"MP/JO/39","JO",39,"C/EGD/1324","Dam",0,"Butter Dam","jhm","06/13/01 12:59:49","jhm","06/13/01 13:00:18"
"MP/JO/40","JO",40,"C/EGD/1323","Dean bank head",0,"Nisbot","jhm","06/13/01 13:21:37","jhm","06/13/01 13:22:54"
"MP/JO/41","JO",41,"C/EGD/1323","Moor",0,,"jhm","06/13/01 13:22:59","jhm","06/13/01 13:23:39"
"MP/JO/42","JO",42,"C/EGD/1323","Moor",0,"Gladsmuir","jhm","06/13/01 13:23:42","jhm","10/03/02 14:38:37"
"MP/JO/43","JO",43,"C/EGD/1323","House",0,"Nisbot","jhm","06/13/01 13:24:12","jhm","06/13/01 13:25:04"
"MP/JO/440","JO",440,"C/EGD/1818","Hilltop",0,"Gallowbeirnie Hill","jhm","11/27/01 13:52:29","jhm","11/27/01 13:53:06"
"MP/JO/451","JO",451,"C/EGD/2387","Mill",0,,"jhm","02/07/02 10:23:44","jhm","02/07/02 10:23:47"
"MP/JO/452","JO",452,"C/EGD/2387","Bridge",0,,"jhm","02/07/02 10:23:50","jhm","02/07/02 10:23:54"
"MP/JO/453","JO",453,"C/EGD/2387","Waterside",0,"West Mill","jhm","02/07/02 10:23:55","jhm","02/07/02 10:24:54"
"MP/JO/454","JO",454,"C/JO/2959","House",0,"her own house","jhm","02/07/02 15:19:31","jhm","02/07/02 15:19:41"
"MP/JO/455","JO",455,"C/EGD/1848","Moor",0,"common moor of Brechin at Lucifer's loch","jhm","02/07/02 16:02:12","jhm","02/07/02 16:02:30"
"MP/JO/48","JO",48,"C/JO/2667","Moor",0,"Foxton moor","jhm","06/14/01 15:44:59","jhm","06/14/01 15:45:08"
"MP/JO/49","JO",49,"C/JO/2668","Moor",0,"Foxton moor","jhm","06/14/01 15:50:00","jhm","06/14/01 15:50:07"
"MP/JO/50","JO",50,"C/EGD/1337",,0,,"jhm","06/15/01 09:26:03","jhm","06/15/01 09:27:52"
"MP/JO/550","JO",550,"C/EGD/2153","Hilltop",0,"Hill of Cragleauche","jhm","03/07/02 16:21:33","jhm","03/07/02 16:21:51"
"MP/JO/551","JO",551,"C/EGD/2119","Mercat Cross",0,"Aberdeen","jhm","05/02/02 12:45:55","jhm","05/02/02 12:55:51"
"MP/JO/552","JO",552,"C/EGD/2119","Fish cross",0,"Aberdeen","jhm","05/02/02 12:55:35","jhm","05/02/02 12:56:02"
"MP/JO/553","JO",553,"C/EGD/2119","Meal market",0,"Aberdeen","jhm","05/02/02 12:56:04","jhm","05/02/02 12:56:27"
"MP/JO/554","JO",554,"C/EGD/2159","Jail",0,"Slains","jhm","05/09/02 13:05:59","jhm","05/09/02 13:06:13"
"MP/JO/555","JO",555,"C/EGD/2159","Loch",0,"near her house","jhm","05/09/02 13:06:26","jhm","05/09/02 13:06:48"
"MP/JO/556","JO",556,"C/EGD/2163",,0,"between Lumphanan and Cragleuch","jhm","05/14/02 16:17:02","jhm","05/14/02 16:18:15"
"MP/JO/558","JO",558,"C/EGD/2154",,0,"Craigleauch","jhm","05/16/02 11:55:19","jhm","05/16/02 11:55:38"
"MP/JO/561","JO",561,"C/EGD/2161","Foot of hill",0,"Craigleuch","jhm","06/03/02 12:28:32","jhm","06/03/02 12:35:23"
"MP/JO/562","JO",562,"C/EGD/2162","Hilltop",0,"Hill of Cragleuche","jhm","06/03/02 15:25:35","jhm","06/03/02 15:26:08"
"MP/JO/565","JO",565,"C/EGD/2130","Yard",0,"Lammyntownis yard","jhm","06/10/02 18:07:17","jhm","06/10/02 18:07:38"
"MP/JO/566","JO",566,"C/EGD/2130","yard",0,"James Thomsoun's yard","jhm","06/10/02 18:07:51","jhm","06/10/02 18:08:03"
"MP/JO/567","JO",567,"C/EGD/2130","Cross",0,"Fish cross","jhm","06/10/02 18:08:11","jhm","06/10/02 18:08:18"
"MP/JO/568","JO",568,"C/EGD/2130","Mercat Cross",0,"meal market","jhm","06/10/02 18:08:19","jhm","06/10/02 18:08:51"
"MP/JO/569","JO",569,"C/EGD/2122","Yard",0,"James Thomsouns's yard","jhm","06/10/02 18:50:20","jhm","06/10/02 18:50:51"
"MP/JO/570","JO",570,"C/EGD/2122","Cross",0,"Fish cross","jhm","06/10/02 18:50:52","jhm","06/10/02 18:51:00"
"MP/JO/571","JO",571,"C/EGD/2122","Mercat Cross",0,"meal market","jhm","06/10/02 18:51:00","jhm","06/10/02 18:51:10"
"MP/JO/572","JO",572,"C/EGD/2123","Yard",0,"James Thomsoun's yard","jhm","06/10/02 20:51:06","jhm","06/10/02 20:51:34"
"MP/JO/573","JO",573,"C/EGD/2123","Cross",0,"Fish cross","jhm","06/10/02 20:51:36","jhm","06/10/02 20:51:41"
"MP/JO/574","JO",574,"C/EGD/2123","Mercat Cross",0,"meal mercat","jhm","06/10/02 20:51:42","jhm","06/10/02 20:51:53"
"MP/JO/575","JO",575,"C/EGD/2141","House",0,"own house","jhm","06/10/02 21:50:22","jhm","06/10/02 21:50:27"
"MP/JO/576","JO",576,"C/EGD/2141","Field",0,"assorted fields","jhm","06/10/02 21:50:28","jhm","06/10/02 21:50:44"
"MP/JO/577","JO",577,"C/JO/3046","Links",0,"Links of Muness","jhm","06/17/02 16:04:29","jhm","06/17/02 16:04:42"
"MP/JO/582","JO",582,"C/JO/3059",,0,"between mill and park","jhm","06/27/02 14:38:51","jhm","06/27/02 14:38:58"
"MP/JO/583","JO",583,"C/JO/3059","Hilltop",0,"above Kincardine","jhm","06/27/02 14:38:58","jhm","06/27/02 14:39:09"
"MP/JO/584","JO",584,"C/JO/3068","House",0,"neighbour's house","jhm","07/02/02 09:21:58","jhm","07/02/02 09:22:10"
"MP/JO/585","JO",585,"C/EGD/297","House",0,"neighbour's house","jhm","07/03/02 16:23:59","jhm","07/03/02 16:25:13"
"MP/JO/586","JO",586,"C/EGD/297","Cross",0,"Alloa cross","jhm","07/04/02 10:57:34","jhm","07/04/02 10:57:39"
"MP/JO/587","JO",587,"C/EGD/297",,0,"Cunigar?","jhm","07/04/02 10:57:42","jhm","07/04/02 10:57:47"
"MP/JO/588","JO",588,"C/EGD/297","Barn",0,"at barn door","jhm","07/04/02 10:58:26","jhm","07/04/02 10:58:47"
"MP/JO/589","JO",589,"C/EGD/297","House",0,"other person's house","jhm","07/04/02 10:58:48","jhm","07/04/02 10:59:08"
"MP/JO/590","JO",590,"C/EGD/294","Meadow",0,,"jhm","07/04/02 11:49:57","jhm","11/13/02 12:37:48"
"MP/JO/591","JO",591,"C/EGD/294","Burn",0,"Bagraburn","jhm","07/04/02 11:50:00","jhm","07/04/02 14:16:09"
"MP/JO/592","JO",592,"C/EGD/294","House",0,"other people's houses","jhm","07/04/02 11:50:26","jhm","07/04/02 11:50:36"
"MP/JO/593","JO",593,"C/EGD/291","Meadow",0,,"jhm","07/04/02 14:01:51","jhm","11/13/02 12:38:06"
"MP/JO/594","JO",594,"C/EGD/291","House",0,"other people's house","jhm","07/04/02 14:01:55","jhm","07/04/02 14:02:06"
"MP/JO/595","JO",595,"C/EGD/293","Meadow",0,,"jhm","07/04/02 15:17:20","jhm","11/13/02 12:38:38"
"MP/JO/596","JO",596,"C/EGD/293","Burn",0,"Bagraburn","jhm","07/04/02 15:17:24","jhm","07/04/02 15:17:31"
"MP/JO/597","JO",597,"C/EGD/293","House",0,"other person's house","jhm","07/04/02 15:17:31","jhm","07/04/02 15:17:52"
"MP/JO/598","JO",598,"C/EGD/293","Barn",0,,"jhm","07/04/02 15:18:33","jhm","07/04/02 15:18:46"
"MP/JO/599","JO",599,"C/EGD/1746","House",0,"own house","jhm","07/10/02 13:10:26","jhm","07/10/02 13:10:52"
"MP/JO/600","JO",600,"C/EGD/2373","Town wall",0,"town wall at West Post, Edinburgh","jhm","07/11/02 10:56:04","jhm","07/11/02 10:58:34"
"MP/JO/601","JO",601,"C/EGD/2373","Quarry",0,"Quarrell hole (quarry)","jhm","07/11/02 10:58:37","jhm","07/11/02 10:59:10"
"MP/JO/602","JO",602,"C/EGD/2373",,0,"place of Merchiston","jhm","07/11/02 11:04:49","jhm","07/11/02 11:05:07"
"MP/JO/603","JO",603,"C/EGD/1813","Hilltop",0,"Corstorphine hill","jhm","07/11/02 12:47:44","jhm","07/11/02 12:47:58"
"MP/JO/604","JO",604,"C/EGD/1813","Park",0,,"jhm","07/11/02 12:47:59","jhm","07/11/02 12:48:13"
"MP/JO/605","JO",605,"C/EGD/1628","Park",0,,"jhm","07/11/02 13:45:06","jhm","07/11/02 13:45:13"
"MP/JO/606","JO",606,"C/JO/3093","House",0,"her own house","jhm","07/18/02 10:29:07","jhm","07/18/02 10:29:28"
"MP/JO/622","JO",622,"C/EGD/2446","Loan",0,"Pittenweem","jhm","08/02/02 15:10:36","jhm","08/02/02 15:11:08"
"MP/JO/623","JO",623,"C/EGD/830","Loan",0,"Pittenweem","jhm","08/02/02 15:16:00","jhm","08/02/02 15:16:06"
"MP/JO/624","JO",624,"C/EGD/831","Moor",0,"Ceres Moor","jhm","08/02/02 15:28:16","jhm","08/02/02 15:28:22"
"MP/JO/625","JO",625,"C/EGD/2446","Tolbooth",0,"Laigh Tolbooth","jhm","08/02/02 15:36:17","jhm","08/06/02 09:40:46"
"MP/JO/626","JO",626,"C/EGD/2444","House",0,"McGregor's house","jhm","08/02/02 15:38:29","jhm","08/02/02 15:38:39"
"MP/JO/646","JO",646,"C/EGD/1533","Moor",0,"Corsmore","jhm","08/27/02 09:51:52","jhm","08/27/02 09:53:27"
"MP/JO/647","JO",647,"C/EGD/1533",,0,"between Kilmachalmok and Edinmore","jhm","08/27/02 10:03:37","jhm","08/27/02 10:05:00"
"MP/JO/648","JO",648,"C/EGD/1533","Moor",0,"between Mikell Kilmorie and Killeferne Moore","jhm","08/27/02 10:06:01","jhm","08/27/02 10:06:43"
"MP/JO/649","JO",649,"C/EGD/1533",,0,"Lochfyne","jhm","08/27/02 10:07:16","jhm","08/27/02 10:07:21"
"MP/JO/650","JO",650,"C/EGD/1527","House",0,"own house","jhm","08/27/02 10:26:54","jhm","08/27/02 10:27:12"
"MP/JO/651","JO",651,"C/EGD/1527",,0,"Cregandow or Bute quay","jhm","08/27/02 10:27:20","jhm","08/27/02 10:27:33"
"MP/JO/652","JO",652,"C/JO/3246","Field",0,"Faldtombuie","jhm","08/27/02 11:56:58","jhm","08/27/02 11:57:18"
"MP/JO/653","JO",653,"C/JO/3246","Yard",0,"Caleyaird","jhm","08/27/02 11:57:30","jhm","08/27/02 11:57:47"
"MP/JO/654","JO",654,"C/JO/3246","Hilltop",0,"Kilmory","jhm","08/27/02 11:59:29","jhm","08/27/02 12:06:10"
"MP/JO/655","JO",655,"C/JO/3247","Hilltop",0,"Ardturr and Glackiriska, Appin","jhm","08/27/02 13:45:16","jhm","08/27/02 13:45:55"
"MP/JO/656","JO",656,"C/JO/3247",,0,"Lismore","jhm","08/27/02 13:49:17","jhm","08/27/02 13:49:20"
"MP/JO/657","JO",657,"C/JO/3247","Fairy mound",0,"Shian of Barcaldine","jhm","08/27/02 13:49:22","jhm","08/27/02 13:50:05"
"MP/JO/658","JO",658,"C/JO/3248",,0,"Knockanrioch","jhm","08/28/02 10:00:46","jhm","08/28/02 10:01:02"
"MP/JO/659","JO",659,"C/JO/3248",,0,"Bute quay","jhm","08/28/02 10:14:42","jhm","08/28/02 10:14:52"
"MP/JO/66","JO",66,"C/EGD/604","Shore",0,"Bute Quau","jhm","06/27/01 12:13:09","jhm","08/27/02 11:20:57"
"MP/JO/660","JO",660,"C/JO/3071","House",0,"Neighbour's house","jhm","09/26/02 12:57:23","jhm","09/26/02 12:57:39"
"MP/LA/1","LA",1,"C/EGD/160","Hilltop",0,"Dounhill of Spott","LEM","05/17/01 10:49:52","LEM","05/17/01 10:50:38"
